BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
SWC05,SWC05_S42_L001,GCA_022045235.1,Haliotis cracherodii,SWC05_S42_L001_R1_001.fastq.gz,SWC05_S42_L001_R2_001.fastq.gz,36.56085799,-121.940458,SWC05_S42_L001,x
SWC05,SWC05_S42_L003,GCA_022045235.1,Haliotis cracherodii,SWC05_S42_L003_R1_001.fastq.gz,SWC05_S42_L003_R2_001.fastq.gz,36.56085799,-121.940458,SWC05_S42_L003,x
SWC05,SWC05_S42_L002,GCA_022045235.1,Haliotis cracherodii,SWC05_S42_L002_R1_001.fastq.gz,SWC05_S42_L002_R2_001.fastq.gz,36.56085799,-121.940458,SWC05_S42_L002,x
SWC08,SWC08_S43_L001,GCA_022045235.1,Haliotis cracherodii,SWC08_S43_L001_R1_001.fastq.gz,SWC08_S43_L001_R2_001.fastq.gz,36.56089604,-121.94069,SWC08_S43_L001,x
SWC08,SWC08_S43_L003,GCA_022045235.1,Haliotis cracherodii,SWC08_S43_L003_R1_001.fastq.gz,SWC08_S43_L003_R2_001.fastq.gz,36.56089604,-121.94069,SWC08_S43_L003,x
SWC08,SWC08_S43_L002,GCA_022045235.1,Haliotis cracherodii,SWC08_S43_L002_R1_001.fastq.gz,SWC08_S43_L002_R2_001.fastq.gz,36.56089604,-121.94069,SWC08_S43_L002,x
SWC08,SWC08_S43_L004,GCA_022045235.1,Haliotis cracherodii,SWC08_S43_L004_R1_001.fastq.gz,SWC08_S43_L004_R2_001.fastq.gz,36.56089604,-121.94069,SWC08_S43_L004,x
VDM04,VDM04_S44_L001,GCA_022045235.1,Haliotis cracherodii,VDM04_S44_L001_R1_001.fastq.gz,VDM04_S44_L001_R2_001.fastq.gz,35.60417497,-121.142385,VDM04_S44_L001,x
VDM04,VDM04_S44_L003,GCA_022045235.1,Haliotis cracherodii,VDM04_S44_L003_R1_001.fastq.gz,VDM04_S44_L003_R2_001.fastq.gz,35.60417497,-121.142385,VDM04_S44_L003,x
VDM04,VDM04_S44_L002,GCA_022045235.1,Haliotis cracherodii,VDM04_S44_L002_R1_001.fastq.gz,VDM04_S44_L002_R2_001.fastq.gz,35.60417497,-121.142385,VDM04_S44_L002,x
VDM04,VDM04_S44_L004,GCA_022045235.1,Haliotis cracherodii,VDM04_S44_L004_R1_001.fastq.gz,VDM04_S44_L004_R2_001.fastq.gz,35.60417497,-121.142385,VDM04_S44_L004,x
DOL02,DOL02_S45_L004,GCA_022045235.1,Haliotis cracherodii,DOL02_S45_L004_R1_001.fastq.gz,DOL02_S45_L004_R2_001.fastq.gz,36.1066499,-121.6237484,DOL02_S45_L004,x
