
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/cookies.py:529 merge_cookies                 19634       0.201960  0.756439  0.000039
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/adapters.py:204 HTTPAdapter.cert_verify      9817        0.177543  0.755013  0.000077
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/cookiejar.py:1361 RequestsCookieJar.add_cookie_header          9817        0.213160  0.751968  0.000077
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:970 is_flagged                        84244       0.431103  0.751231  0.000009
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:1406 InputFiles.__init__              8746/8140   0.149034  0.750934  0.000086
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/response.py:425 HTTPResponse._error_catcher   19634       0.086768  0.746499  0.000038
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:883 Response.json                  9815        0.100565  0.742943  0.000076
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:103 Python.consume                21616/10..  0.133159  0.741825  0.000034
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:78 BufferedSubFile.readline                     135626      0.564170  0.722820  0.000005
../miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connectionpool.py:324 HTTPSConnectionPool._get_timeout  19634       0.126539  0.701015  0.000036
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/timeout.py:102 Timeout.__init__          29455       0.295519  0.696975  0.000024
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/cookiejar.py:1231 deepvalues                                   49089       0.201575  0.689310  0.000014
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/poolmanager.py:78 _default_key_normalizer     9817        0.462679  0.686491  0.000070
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/genericpath.py:16 exists                                            39296       0.200740  0.679994  0.000017
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:213 HTTPMessage.get_payload                        9817        0.141988  0.672147  0.000068
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:66 is_local_file         667         0.002892  0.660928  0.000991
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/ssl.py:1198 SSLSocket.send                                          9819        0.073440  0.660572  0.000067
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/response.py:275 HTTPResponse.release_conn     9817        0.050215  0.644068  0.000066
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/re.py:288 _compile                                                  15854       0.098835  0.640937  0.000040
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:342 RemoteObject.parse         14797       0.181549  0.618695  0.000042
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/api_core/retry.py:260 Retry.__call__           9824        0.108905  0.607782  0.000062
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connectionpool.py:283 HTTPSConnectionPool._put_conn  9817        0.058560  0.593853  0.000060
..buntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/auth/credentials.py:115 Credentials.before_request  9815        0.078324  0.589088  0.000060
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/utils.py:609 unquote_unreserved              9817        0.378586  0.587303  0.000060
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/structures.py:60 <genexpr>                   343591      0.581974  0.581974  0.000002
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/inspect.py:2276 _signature_from_function                            3965        0.154317  0.576213  0.000145
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:63 PreparedRequest.path_url        9817        0.128888  0.573174  0.000058
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/timeout.py:181 Timeout.clone             19634       0.106090  0.548357  0.000028
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/logging.py:362 Logger.info                  1354        0.006357  0.546286  0.000403
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:336 ParseResult.geturl                              9817        0.039078  0.541818  0.000055
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:479 HTTPMessage.set_raw                            106175      0.396342  0.539912  0.000005
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/queue.py:122 LifoQueue.put                                          9857        0.185701  0.536914  0.000054
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1286 <genexpr>                                       68719       0.340258  0.531590  0.000008
..tu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:200 RemoteObject.get_inventory_parent  15243       0.059443  0.523860  0.000034
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:84 _encode_params                  9819        0.131943  0.519687  0.000053
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/json/__init__.py:299 loads                                          9824        0.105943  0.519574  0.000053
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:1479 Logger.warning                             1356        0.010604  0.518685  0.000383
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:91 __new__                        29451       0.271229  0.517268  0.000018
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:101 BufferedSubFile.push                        9817        0.213012  0.513602  0.000052
